X,Y,Date,Year,Incident Name,perimeterd,Acres Burned,stateCode,State,Category,,AL,Alabama
-116.476203,43.32651867,10/08/2011,2011,Vogel,05/08/2011,44.78364092,ID,Idaho,Least Severe,,NJ,New Jersey
-114.191393,43.48984099,27/07/2017,2017,Martin Canyon,25/07/2017,4027.136439,ID,Idaho,Least Severe,,NM,New Mexico
-113.1008969,33.02069532,18/08/2017,2017,Rocky Point,07/04/2017,55.58958263,AZ,Arizona,Least Severe,,NY,New York
-117.7945188,41.57445186,03/08/2018,2018,Stubble,29/07/2018,29.8550554,NV,Nevada,Least Severe,,NC,North Carolina
-104.3037277,43.77743003,14/08/2018,2018,SKULL CREEK,13/08/2018,29.10293481,WY,Wyoming,Least Severe,,ND,North Dakota
-116.2383804,48.34477069,20/07/2017,2017,Trestle Peak,19/07/2017,31.47251606,ID,Idaho,Least Severe,,OH,Ohio
-112.4912215,46.4489921,22/07/2017,2017,Limburger,21/07/2017,61.13405624,MT,Montana,Least Severe,,OK,Oklahoma
-115.2346443,44.83370058,24/08/2018,2018,Kiwah,24/08/2018,13658.25024,ID,Idaho,Moderate,,OR,Oregon
-116.3466887,44.66248291,24/08/2018,2018,Mesa,23/08/2018,34744.83751,ID,Idaho,Severe,,PA,Pennsylvania
-116.6013352,43.77256867,18/08/2017,2017,AMSCO,20/07/2017,15.269708,ID,Idaho,Least Severe,,RI,Rhode Island
-105.8875245,45.30673736,16/11/2012,2012,Circle Bar,16/07/2012,9.0077825,MT,Montana,Least Severe,,SC,South Carolina
-117.0976055,44.13952533,21/06/2018,2018,Moores Hollow,20/06/2018,85.92099312,OR,Oregon,Least Severe,,SD,South Dakota
-117.7505285,41.76350367,03/08/2018,2018,MM 56,19/07/2018,26.50688086,NV,Nevada,Least Severe,,TN,Tennessee
-115.4171861,41.24596063,03/08/2018,2018,Stag,21/07/2018,4357.675261,NV,Nevada,Least Severe,,TX,Texas
-80.96692483,25.94763916,15/06/2015,2015,Baxter,13/06/2015,124.9296873,FL,Florida,Least Severe,,UT,Utah
-142.1332888,67.5055049,17/07/2017,2017,Lake Creek,15/07/2017,2419.06234,AK,Alaska,Least Severe,,VT,Vermont
-95.44570215,30.94713886,22/09/2011,2011,Koonce,06/06/2011,150.7532557,TX,Texas,Least Severe,,VA,Virginia
-94.69607894,30.75035731,23/09/2011,2011,Livingston 244 1,25/07/2011,5.13967003,TX,Texas,Least Severe,,WA,Washington
-115.9695453,43.36088377,22/08/2018,2018,MM72 I84,30/06/2018,23.91798104,ID,Idaho,Least Severe,,WV,West Virginia
-113.9650264,42.01570156,26/08/2017,2017,Goose,25/08/2017,33.27160596,ID,Idaho,Least Severe,,WI,Wisconsin
-110.4399741,31.44153943,24/03/2017,2017,MERRITT,04/03/2017,13.70004176,AZ,Arizona,Least Severe,,WY,Wyoming
-107.5023306,39.55861733,05/07/2017,2017,Hog Back,03/07/2017,102.4215816,CO,Colorado,Least Severe,,PR,Puerto Rico
-78.165581,38.85607096,08/03/2011,2011,4H,04/03/2011,0.4903121,VA,Virginia,Least Severe,,AK,Alaska
-97.54188985,33.46799945,23/09/2011,2011,Merritt Road,10/08/2011,91.4801106,TX,Texas,Least Severe,,AR,Arkansas
-115.302673,46.2056374,12/10/2011,2011,Coolwater Complex,28/09/2011,191.1432452,ID,Idaho,Least Severe,,,
-121.7494439,44.9540721,25/07/2014,2014,North Pinhead,23/07/2014,2.56651678,OR,Oregon,Least Severe,,,
-117.9853288,41.12118445,10/08/2017,2017,Dune,09/08/2017,9879.000604,NV,Nevada,Less Severe,,,
-119.8838827,39.95143939,21/09/2017,2017,Wildcat,15/09/2017,10.4672352,NV,Nevada,Least Severe,,,
-116.0578673,44.36851645,25/07/2018,2018,Trestle,25/07/2018,88.95732825,ID,Idaho,Least Severe,,,
-114.8258994,42.92444899,06/07/2017,2017,Fuller,05/07/2017,4.55360048,ID,Idaho,Least Severe,,,
-104.9499806,45.17622985,05/02/2018,2017,Harrington,12/08/2017,2.50317201,MT,Montana,Least Severe,,,
-95.14531671,33.8981949,30/12/2011,2011,Linden 428,17/08/2011,0.0761398,TX,Texas,Least Severe,,,
-106.1971963,46.27457631,05/02/2018,2017,Hathaway,04/07/2017,0.68161386,MT,Montana,Least Severe,,,
-105.7558277,46.3650256,05/02/2018,2017,Mile Marker 4,10/07/2017,1478.789747,MT,Montana,Least Severe,,,
-108.1095847,43.90665259,01/02/2018,2017,WELD,08/09/2017,79.52961158,WY,Wyoming,Least Severe,,,
-120.2821829,41.28387898,20/09/2016,2016,SOUP 5,19/09/2016,0.08684921,CA,California,Least Severe,,,
-108.8178042,35.05724045,14/03/2016,2016,Three zero one South,27/02/2016,202.5662704,NM,New Mexico,Least Severe,,,
-105.2404424,44.53141363,25/07/2016,2016,COW CREEK,22/07/2016,80.75776436,WY,Wyoming,Least Severe,,,
-157.3495732,61.9834976,24/07/2016,2016,South Fork George River,21/07/2016,1110.04139,AK,Alaska,Least Severe,,,
-144.7216295,62.52157395,23/07/2016,2016,Yokneda Lake,20/07/2016,3264.824066,AK,Alaska,Least Severe,,,
-163.1423797,60.27858309,24/07/2016,2016,Kolekfikpuk Lake,21/07/2016,369.827133,AK,Alaska,Least Severe,,,
-144.8078353,62.89352674,25/07/2016,2016,Chistochina River,23/07/2016,797.9755326,AK,Alaska,Least Severe,,,
-93.91580459,34.91581845,22/02/2018,2018,Watcher Way,21/02/2018,0.66698232,AR,Arkansas,Least Severe,,,
-118.4532327,37.40972841,23/02/2018,2018,PLEASANT,23/02/2018,2076.568139,CA,California,Least Severe,,,
-155.0512968,63.64777275,25/07/2016,2016,Clearwater Creek,23/07/2016,752.353133,AK,Alaska,Least Severe,,,
-84.50831789,30.04013241,03/11/2016,2016,Morrison Hammock,02/11/2016,70.80027554,FL,Florida,Least Severe,,,
-113.9939069,42.52254514,07/01/2013,2006,Eastern Idaho Railroad #2,16/06/2006,63.38185828,ID,Idaho,Least Severe,,,
-123.8138481,41.2853819,24/08/2016,2016,TULLY 2,23/08/2016,489.7458836,CA,California,Least Severe,,,
-157.7778941,65.64584548,13/08/2016,2016,Nulitna River,12/08/2016,217.674737,AK,Alaska,Least Severe,,,
-159.7579401,63.65605891,13/08/2016,2016,Unalakleet,12/08/2016,363.6959836,AK,Alaska,Least Severe,,,
-113.7906727,36.35618231,22/08/2016,2016,Coyote Wash,12/06/2016,22.3185555,AZ,Arizona,Least Severe,,,
-111.4335141,43.49604543,01/09/2016,2016,Granite Creek,31/08/2016,49.88023748,ID,Idaho,Least Severe,,,
-106.3693923,45.30117292,06/09/2016,2016,Griffin Gulch,03/09/2016,1262.640051,MT,Montana,Least Severe,,,
-124.07739,40.46053626,15/08/2016,2016,STAFFORD,12/08/2016,24.02524213,CA,California,Least Severe,,,
-161.3353248,61.05715242,24/07/2016,2016,Gweek River,21/07/2016,1320.053219,AK,Alaska,Least Severe,,,
-105.5025562,44.62659133,02/08/2017,2017,MARGRETS DRAW,01/08/2017,13.30692536,WY,Wyoming,Least Severe,,,
-106.4465095,42.79118185,02/08/2017,2017,TRAILSIDE,01/08/2017,0.88780703,WY,Wyoming,Least Severe,,,
-119.6347431,37.84056758,21/08/2017,2017,Yosemite Creek,12/08/2017,1.89277209,CA,California,Least Severe,,,
-110.6141574,32.3065163,24/03/2017,2017,RACE TRACK,13/03/2017,116.7078812,AZ,Arizona,Least Severe,,,
-99.35333528,36.58913245,21/03/2017,2017,OKS - Selman,20/03/2017,44236.12603,OK,Oklahoma,Severe,,,
-99.85593257,37.07968115,21/03/2017,2017,OKS - Starbuck,20/03/2017,662592.5108,OK,Oklahoma,Extremely Severe,,,
-147.6736259,65.59585584,25/08/2005,2005,Beaver Creek,24/08/2005,165705.7201,AK,Alaska,Extremely Severe,,,
-119.9867755,37.75216898,19/09/2016,2016,OLD,14/09/2016,149.531074,CA,California,Least Severe,,,
-79.53964577,33.18997977,14/03/2018,2018,KEEPERS BRANCH FIRE,07/03/2018,719.7839797,SC,South Carolina,Least Severe,,,
-157.5409506,61.96571339,22/07/2016,2016,George River,21/07/2016,3733.360777,AK,Alaska,Least Severe,,,
-117.9408756,40.66451598,18/08/2016,2016,Monroe,17/08/2016,11227.45798,NV,Nevada,Moderate,,,
-106.2695987,43.7203546,10/08/2016,2016,FOUR MILE CREEK,09/08/2016,30.19264562,WY,Wyoming,Least Severe,,,
-82.85890954,35.87916593,08/05/2018,2018,DEER PARK,04/05/2018,46.09703602,NC,North Carolina,Least Severe,,,
-105.7451958,44.64924761,07/09/2016,2016,PRONGHORN,06/09/2016,1890.112554,WY,Wyoming,Least Severe,,,
-109.6096733,33.5648128,23/06/2016,2016,Freeze,21/06/2016,540.7986475,AZ,Arizona,Least Severe,,,
-104.786119,44.79366926,11/08/2016,2016,North Wood Canyon,10/08/2016,5.96326183,WY,Wyoming,Least Severe,,,
-115.605414,46.45906116,15/09/2015,2015,Snowy Summit,13/09/2015,5886.63261,ID,Idaho,Less Severe,,,
-105.8711716,44.95695574,13/09/2015,2015,Williams,07/09/2015,52.26165132,WY,Wyoming,Least Severe,,,
-117.5256293,45.19728313,09/07/2015,2015,Dennis Creek,06/07/2015,111.1905251,OR,Oregon,Least Severe,,,
-110.7144947,32.34572589,03/05/2018,2018,BUG,02/05/2018,38.5800642,AZ,Arizona,Least Severe,,,
-81.15748192,26.21141389,04/04/2018,2018,SPOONBILL,03/04/2018,1731.693123,FL,Florida,Least Severe,,,
-80.55862607,25.42981233,27/02/2015,2015,C-111E/ 9336 WF,26/02/2015,146.4285371,FL,Florida,Least Severe,,,
-81.06785037,26.28281812,02/07/2015,2015,Cow Bone 2,01/07/2015,1046.788982,FL,Florida,Least Severe,,,
-82.31652479,30.40703848,07/07/2015,2015,Cattail,07/07/2015,553.6384789,FL,Florida,Least Severe,,,
-105.292593,44.44965143,10/09/2015,2015,Adon Mcclury,06/09/2015,12.34677008,WY,Wyoming,Least Severe,,,
-119.4785389,34.45867587,08/01/2018,2017,THOMAS,07/01/2018,281795.8324,CA,California,Extremely Severe,,,
-108.694919,31.50966709,08/05/2018,2018,OK Bar,08/05/2018,59398.81219,NM,New Mexico,Severe,,,
-115.1222478,42.80486707,18/08/2015,2015,20 Mile,14/08/2015,498.0531565,ID,Idaho,Least Severe,,,
-155.1697295,63.36555355,03/06/2005,2005,Washington Creek,31/05/2005,6166.319773,AK,Alaska,Less Severe,,,
-110.2688606,45.70036153,14/12/2015,2015,Lane,28/06/2015,91.81416399,MT,Montana,Least Severe,,,
-119.2223224,38.22774093,13/02/2015,2015,Van Dyke,09/02/2015,512.433537,CA,California,Least Severe,,,
-92.3578587,35.99470743,27/02/2015,2015,Trash,25/02/2015,9.31852736,AR,Arkansas,Least Severe,,,
-110.44949,33.2991582,03/04/2018,2018,Sand,29/03/2018,13.602658,AZ,Arizona,Least Severe,,,
-106.30116,45.38068753,06/03/2015,2015,Green,02/03/2015,48.10857749,MT,Montana,Least Severe,,,
-119.7338608,49.00796243,06/05/2015,2015,Chopaka,05/05/2015,213.2608599,WA,Washington,Least Severe,,,
-106.9392173,44.94714228,07/07/2015,2015,East Welsh,20/04/2015,8.12922436,WY,Wyoming,Least Severe,,,
-112.6006588,38.68192185,14/12/2015,2015,Baker,03/08/2015,42.08687258,UT,Utah,Least Severe,,,
-106.7294458,32.43030411,14/12/2015,2015,Jornada,18/06/2015,25.88858171,NM,New Mexico,Least Severe,,,
-114.912879,42.22624,21/12/2015,2015,Cedar Butte,24/07/2015,14.72973124,ID,Idaho,Least Severe,,,
-108.6305877,40.20457573,14/12/2015,2015,Frank,30/08/2015,20.64922899,CO,Colorado,Least Severe,,,
-111.5918459,31.5036971,18/05/2017,2017,MIRADOR,18/05/2017,244.7791782,AZ,Arizona,Least Severe,,,
-116.0536441,40.24270735,23/08/2018,2018,Bruffey,21/08/2018,11.86077629,NV,Nevada,Least Severe,,,
-114.944736,46.00757733,18/09/2017,2017,Lonesome,17/09/2017,52.57819736,ID,Idaho,Least Severe,,,
-157.4330566,61.016391,19/12/2017,2017,Wayne Taylor,26/06/2017,126.5951754,AK,Alaska,Least Severe,,,
-105.7406895,42.2752799,02/10/2015,2015,Smith Mountain,01/10/2015,630.8806444,WY,Wyoming,Least Severe,,,
-113.1181841,47.29794249,02/10/2017,2017,Monahan,28/09/2017,3613.305116,MT,Montana,Least Severe,,,
-80.55944453,25.75459482,06/07/2015,2015,Coopertown WF,08/06/2015,21.21559196,FL,Florida,Least Severe,,,
-116.3794865,41.13800589,02/08/2015,2015,Powerline,07/07/2015,75.88185993,NV,Nevada,Least Severe,,,
-80.77543647,25.50758619,23/07/2015,2015,Canemill Hammock,21/07/2015,84.74000557,FL,Florida,Least Severe,,,
-113.9417404,34.98273305,15/09/2015,2015,Walnut Creek,14/09/2015,2.45390281,AZ,Arizona,Least Severe,,,
-106.2473911,44.09691144,04/09/2015,2015,Golden Hills,31/08/2015,11.77303181,WY,Wyoming,Least Severe,,,
-110.396304,34.12787567,03/07/2015,2015,Blue Springs,02/07/2015,82.53953907,AZ,Arizona,Least Severe,,,
-120.1425082,35.58024893,20/06/2013,2012,BITTER,31/08/2012,167.6614688,CA,California,Least Severe,,,
-141.0724958,65.92784009,23/10/2012,2012,Midnight Creek,19/10/2012,7934.614965,AK,Alaska,Less Severe,,,
-111.862064,35.17366666,13/02/2018,2018,GATE 13,12/02/2018,1142.921536,AZ,Arizona,Least Severe,,,
-143.9243979,63.51898307,05/06/2017,2017,North Robertson,04/06/2017,832.4210386,AK,Alaska,Least Severe,,,
-120.2817631,41.28606682,20/09/2016,2016,SOUP 4,19/09/2016,0.26708666,CA,California,Least Severe,,,
-119.6209513,42.70489042,02/11/2012,2012,Blue Joint,22/10/2012,3411.664745,OR,Oregon,Least Severe,,,
-163.1660334,62.54436043,09/07/2017,2017,Allen,06/07/2017,2583.490409,AK,Alaska,Least Severe,,,
-74.1277985,40.54974626,05/05/2016,2016,GREAT KILLS PARK,25/04/2016,0.35386943,NY,New York,Least Severe,,,
-111.8367205,38.87149544,03/04/2013,2012,Spike Bull,10/04/2012,24.39338828,UT,Utah,Least Severe,,,
-103.2479963,29.23880844,19/05/2017,2017,CROWN MOUNTAIN,17/05/2017,943.9016631,TX,Texas,Least Severe,,,
-108.421906,40.17179174,22/07/2011,2011,Steamroller,21/07/2011,2.60516643,CO,Colorado,Least Severe,,,
-103.8950274,33.45642518,10/05/2018,2018,CATO,22/04/2018,83.06730464,NM,New Mexico,Least Severe,,,
-114.3030864,42.60478477,06/09/2011,2011,Devils Corral 3,02/09/2011,534.5974244,ID,Idaho,Least Severe,,,
-83.06352603,29.20349713,22/11/2011,2011,Four Eagles,22/11/2011,8.25804832,FL,Florida,Least Severe,,,
-75.67354998,36.00951321,07/09/2011,2011,Bermuda Bay,03/09/2011,0.18416479,NC,North Carolina,Least Severe,,,
-106.1708107,37.07436873,30/09/2013,2011,Mogote,11/07/2011,75.52185587,CO,Colorado,Least Severe,,,
-116.6552908,36.90520444,12/02/2013,2011,Beatty,06/08/2011,22.2231507,NV,Nevada,Least Severe,,,
-146.2819835,64.79244083,03/06/2010,2010,Granite Tors,02/06/2010,7886.428245,AK,Alaska,Less Severe,,,
-93.73048871,47.30884235,15/02/2012,2010,Highway 11,15/04/2010,112.6356488,MN,Minnesota,Least Severe,,,
-161.8039629,61.17178546,24/07/2016,2016,Pikmiktalik River,21/07/2016,253.0960628,AK,Alaska,Least Severe,,,
-119.7541881,39.46262607,12/02/2013,2010,Alexander,14/09/2010,86.06518274,NV,Nevada,Least Severe,,,
-121.6174791,39.44157859,14/04/2011,2010,Palermo,04/07/2010,672.0052034,CA,California,Least Severe,,,
-118.9836228,34.08746831,14/04/2011,2010,Deer Creek,29/05/2010,3.62812152,CA,California,Least Severe,,,
-121.7672639,41.59728477,14/04/2011,2010,Tamarack,26/07/2010,10.10078134,CA,California,Least Severe,,,
-116.0435059,44.09805109,10/02/2012,2010,Frazier,29/08/2010,563.8323172,ID,Idaho,Least Severe,,,
-103.0981056,36.98436818,29/03/2018,2018,Stateline,13/03/2018,28102.50322,NM,New Mexico,Severe,,,
-116.1504443,38.52838202,03/08/2018,2018,Halligan,27/07/2018,0.0100426,NV,Nevada,Least Severe,,,
-112.2605968,42.94717444,07/09/2010,2010,Ross Fork 2,25/08/2010,112.8521155,ID,Idaho,Least Severe,,,
-81.26423235,26.01298642,10/02/2012,2010,Turner River Road,23/08/2010,5.09551004,FL,Florida,Least Severe,,,
-109.5776051,39.05756221,29/03/3013,2010,Nash Wash,09/06/2010,22.40787666,UT,Utah,Least Severe,,,
-107.7800857,44.38915323,17/07/2018,2018,HAUL,16/07/2018,153.0055371,WY,Wyoming,Least Severe,,,
-113.3040214,34.88134328,22/05/2018,2018,HAPPY,19/05/2018,1721.845318,AZ,Arizona,Least Severe,,,
-94.90166238,34.15289738,06/04/2018,2018,Fryar Hole,20/03/2018,28.91710231,OK,Oklahoma,Least Severe,,,
-153.4810753,65.29472744,26/07/2016,2016,Eureka Creek,24/07/2016,42.18935565,AK,Alaska,Least Severe,,,
-112.2288548,39.51291044,18/07/2018,2018,Wood Canyon,18/07/2018,781.1114359,UT,Utah,Least Severe,,,
-116.91998,40.78675364,16/06/2018,2018,Sterrit,08/06/2018,15.50144169,NV,Nevada,Least Severe,,,
-93.08303678,35.48054327,13/06/2017,2017,Broomfield,21/03/2017,13.55754687,AR,Arkansas,Least Severe,,,
-106.4825895,37.61504472,11/07/2017,2017,Hubba,09/07/2017,1.79378439,CO,Colorado,Least Severe,,,
-114.4537922,47.36571946,09/08/2016,2016,RACE HORSE GULCH,08/08/2016,4570.662038,MT,Montana,Least Severe,,,
-119.8698704,48.97575225,26/07/2015,2015,Newby Lake Long Draw,25/07/2015,4622.458164,WA,Washington,Least Severe,,,
-92.0494087,32.57592427,11/04/2018,2018,Joe White Rd Fire,09/04/2018,4.70140591,LA,Louisiana,Least Severe,,,
-84.42023657,30.1504748,22/05/2018,2018,CHURI,21/05/2018,144.3298208,FL,Florida,Least Severe,,,
-152.8045877,65.27601602,24/08/2005,2005,Grant Dome,23/08/2005,4668.792575,AK,Alaska,Least Severe,,,
-143.5989006,66.40536796,18/07/2018,2018,Tiechovun Lake,14/07/2018,2370.2572,AK,Alaska,Least Severe,,,
-119.977948,47.9759508,30/08/2015,2015,Reach,30/08/2015,93684.8777,WA,Washington,Very Severe,,,
-101.0889287,34.61010141,16/05/2018,2018,Prairie Dog Fork,15/05/2018,304.119479,TX,Texas,Least Severe,,,
-114.0060012,35.0257787,19/08/2016,2016,Whiskey,01/07/2016,94.63147316,AZ,Arizona,Least Severe,,,
-121.8744588,44.69924988,10/10/2017,2017,Whitewater,05/10/2017,11513.04927,OR,Oregon,Moderate,,,
-119.8677899,43.42963267,08/08/2017,2017,Cinder Butte,07/08/2017,52435.91718,OR,Oregon,Severe,,,
-111.1026521,34.58983602,07/05/2018,2018,Tinder,06/05/2018,15848.7408,AZ,Arizona,Moderate,,,
-84.28355253,30.34763416,22/05/2018,2018,Quail,21/05/2018,335.7740791,FL,Florida,Least Severe,,,
-107.9821592,44.03241077,26/04/2016,2016,RANGE,25/04/2016,52.93108843,WY,Wyoming,Least Severe,,,
-115.8946825,39.62956921,03/08/2018,2018,Cottonwood,05/07/2018,1.61607142,NV,Nevada,Least Severe,,,
-112.7030476,40.04535131,26/07/2014,2014,Flats,25/07/2014,123.5854678,UT,Utah,Least Severe,,,
-121.5772659,44.56545224,01/08/2014,2014,Bridge 99,30/07/2014,5082.544289,OR,Oregon,Less Severe,,,
-112.6654539,39.91818582,06/08/2018,2018,Cherry Creek,05/08/2018,31.90905537,UT,Utah,Least Severe,,,
-118.1377424,43.22833327,18/07/2014,2014,Saddle Draw,17/07/2014,121390.6895,OR,Oregon,Extremely Severe,,,
-106.1700652,44.91828159,17/10/2013,2012,Cabin Creek,13/07/2012,93.72086956,WY,Wyoming,Least Severe,,,
-143.6243621,66.9991799,12/08/2009,2009,Rock Slough,11/08/2009,62313.35879,AK,Alaska,Very Severe,,,
-157.4684389,64.7442802,08/06/2017,2017,Soonkakat River,07/06/2017,3.54799426,AK,Alaska,Least Severe,,,
-105.5211234,39.0949647,26/05/2017,2017,Badger,19/05/2017,1.12037274,CO,Colorado,Least Severe,,,
-107.2577143,35.43002538,07/06/2017,2017,Black Mesa,06/06/2017,25.27368873,NM,New Mexico,Least Severe,,,
-119.2616064,46.93839557,11/07/2017,2017,GOOSE LAKE,09/07/2017,707.7229849,WA,Washington,Least Severe,,,
-109.5981903,37.8212997,08/06/2017,2017,Causeway,04/06/2017,87.00417587,UT,Utah,Least Severe,,,
-105.6798021,46.41660337,16/11/2012,2012,Strawberry,03/07/2012,5.75564097,MT,Montana,Least Severe,,,
-104.2047794,45.4933158,16/11/2012,2012,Sheep Mountain,17/07/2012,0.9511987,MT,Montana,Least Severe,,,
-108.1847902,39.76613277,09/09/2016,2016,WEST STEWART,08/09/2016,112.0529911,CO,Colorado,Least Severe,,,
-114.797391,42.41178181,19/07/2018,2018,Berger Butte,18/07/2018,3104.895281,ID,Idaho,Least Severe,,,
-110.7452129,31.37950052,01/03/2018,2018,ITALIAN,03/02/2018,22.91495893,AZ,Arizona,Least Severe,,,
-118.2841001,36.01389802,04/06/2018,2018,Wood,01/06/2018,101.6713193,CA,California,Least Severe,,,
-118.9952532,46.01111796,22/07/2018,2018,LES BLAIR,06/06/2018,905.7958455,WA,Washington,Least Severe,,,
-115.8550955,48.09997972,17/08/2015,2015,Napoleon 2,17/08/2015,35.57417295,MT,Montana,Least Severe,,,
-119.9414842,46.70914865,24/07/2018,2018,BUCKSHOT,21/07/2018,908.6361574,WA,Washington,Least Severe,,,
-119.7530564,39.8265414,03/08/2018,2018,Big Wash,08/07/2018,4.78118353,NV,Nevada,Least Severe,,,
-120.0462037,46.84809863,24/07/2018,2018,BOYLSTON,22/07/2018,71704.63935,WA,Washington,Very Severe,,,
-122.5360859,38.55394543,23/06/2014,2013,SUMMIT,24/04/2013,2.20039909,CA,California,Least Severe,,,
-100.5260213,34.80854621,14/05/2018,2018,Simmons Ranch,12/05/2018,2261.574342,TX,Texas,Least Severe,,,
-115.5443254,41.62052299,03/08/2018,2018,Haystack,14/07/2018,20.93364627,NV,Nevada,Least Severe,,,
-161.2850409,63.40033359,09/06/2017,2017,Golsovia 2,08/06/2017,879.3088813,AK,Alaska,Least Severe,,,
-110.8274324,33.30544,31/05/2017,2017,Pinal,30/05/2017,7162.016438,AZ,Arizona,Less Severe,,,
-120.2742384,34.52525929,23/07/2018,2018,CRUCES,19/07/2018,77.5530479,CA,California,Least Severe,,,
-113.0408621,42.4832926,23/07/2018,2018,North Hegler,22/07/2018,2388.158476,ID,Idaho,Least Severe,,,
-117.6341401,46.00786291,18/09/2015,2015,Butte Creek,17/09/2015,77477.96316,OR,Oregon,Very Severe,,,
-122.4512365,38.94141786,15/08/2015,2015,Rocky,14/08/2015,69438.16761,CA,California,Very Severe,,,
-119.6949196,39.75538,22/01/2013,2012,Pyramid Hwy,19/08/2012,47.58299498,NV,Nevada,Least Severe,,,
-115.2914881,45.00384239,26/09/2018,2018,Bum Creek,20/09/2018,3855.4945,ID,Idaho,Least Severe,,,
-115.8754598,46.34226,30/07/2018,2018,Lacey Meadows,29/07/2018,18.0184314,ID,Idaho,Least Severe,,,
-108.1608919,39.81277392,26/07/2018,2018,STEWARD GULCH,25/07/2018,61.71282265,CO,Colorado,Least Severe,,,
-94.92394514,32.18472012,21/09/2011,2011,Henderson 261,06/09/2011,5.28789871,TX,Texas,Least Severe,,,
-108.1712806,40.51057722,08/07/2018,2018,THORNBURG,07/07/2018,1635.098992,CO,Colorado,Least Severe,,,
-114.4350254,42.40317588,19/06/2018,2018,Foothills,13/06/2018,0.0728252,ID,Idaho,Least Severe,,,
-101.8799545,35.06830681,14/05/2018,2018,Western,28/02/2018,44.69299062,TX,Texas,Least Severe,,,
